Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Turn Me On (feat. Nicki Minaj),David Guetta,Nothing but the Beat 2.0,2011,199680,4,0.705,0.794,8,-2.266,1,0.0593,0.0488,0,0.575,0.412,127.961,60
When Love Takes Over (feat. Kelly Rowland),David Guetta,One Love (Deluxe),2009,191000,4,0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,58
Without You (feat. Usher),David Guetta,Nothing but the Beat 2.0,2011,208133,4,0.608,0.614,2,-3.727,1,0.0285,0.227,0.00000382,0.157,0.402,127.885,64
Burn,David Kushner,Footprints I Found,2023,179173,4,0.574,0.408,0,-9.733,1,0.0359,0.799,0.00295,0.15,0.134,126.127,70
Daylight,David Kushner,Daylight,2023,212953,4,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,87
Hero,David Kushner,Hero,2023,206218,1,0.4,0.335,1,-8.355,1,0.0389,0.673,0,0.0856,0.208,99.378,66
Mr. Forgettable,David Kushner,Footprints I Found,2023,187293,4,0.564,0.412,8,-9.23,0,0.0274,0.554,0,0.151,0.29,144.689,71
Skin and Bones,David Kushner,Skin and Bones,2023,214632,4,0.484,0.457,10,-10.205,1,0.0376,0.649,0.477,0.148,0.17,116.9,72
Alter Ego (with JT),Doechii,Alter Ego (with JT),2023,204094,4,0.841,0.725,11,-5.314,0,0.0624,0.00821,0.00000215,0.519,0.731,127.047,66
Crazy,Doechii,Crazy,2023,134116,4,0.841,0.879,1,-4.336,1,0.0743,0.0055,0.00211,0.101,0.458,128.966,51
Persuasive,Doechii,Persuasive,2023,216707,4,0.822,0.627,7,-5.826,0,0.126,0.143,0,0.146,0.5,120.057,51
ROCKET,Doechii,ROCKET,2023,166315,4,0.622,0.78,1,-6.441,1,0.341,0.0702,0.00233,0.331,0.755,113.184,59
What It Is (Solo Version),Doechii,What It Is (Versions),2023,189824,4,0.74,0.758,1,-5.851,0,0.0921,0.061,0.00000144,0.0967,0.757,171.925,73
Yucky Blucky Fruitcake,Doechii,Oh The Places You’ll Go,2023,275526,4,0.596,0.617,9,-7.52,1,0.286,0.481,0,0.659,0.906,98.099,53
Boss Bitch,Doja Cat,Boss Bitch,2021,134239,4,0.707,0.955,10,-4.593,0,0.222,0.127,0,0.202,0.575,125.989,76
Juicy,Doja Cat,Hot Pink,2019,203093,4,0.785,0.652,0,-2.607,1,0.0668,0.102,0,0.0697,0.484,170.024,67
Kiss Me More (feat. SZA),Doja Cat,Planet Her,2021,208666,4,0.764,0.705,8,-3.463,1,0.0284,0.259,0.0000892,0.12,0.781,110.97,81
Paint The Town Red,Doja Cat,Paint The Town Red,2023,231750,4,0.868,0.538,5,-8.603,1,0.174,0.269,0.00000334,0.0901,0.732,99.968,81
Rules,Doja Cat,Hot Pink,2019,187040,4,0.651,0.724,7,-5.457,1,0.166,0.172,0,0.13,0.686,144.146,72
Say So,Doja Cat,Hot Pink,2020,237893,4,0.787,0.673,11,-4.583,0,0.159,0.264,0.00000335,0.0904,0.779,110.962,75
Streets,Doja Cat,Hot Pink,2020,226986,4,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,80
Vegas,Doja Cat,ELVIS (Original Motion Picture Soundtrack),2022,183026,4,0.789,0.604,8,-7.616,0,0.25,0.0768,0.0000489,0.137,0.765,159.979,56
Woman,Doja Cat,Planet Her,2021,172626,4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,82
You Right,Doja Cat,Planet Her,2021,186173,4,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,76
Be the One,Dua Lipa,Be the One,2017,202914,4,0.661,0.651,7,-3.771,0,0.0499,0.117,0.0000132,0.056,0.368,87.46,67
Break My Heart,Dua Lipa,Future Nostalgia,2020,221820,4,0.73,0.729,4,-3.434,0,0.0884,0.167,0.00000139,0.349,0.467,113.011,75
Don't Start Now,Dua Lipa,Future Nostalgia,2019,183290,4,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,84
IDGAF,Dua Lipa,Dua Lipa (Deluxe),2018,217946,4,0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,79
